grain,sma_best_param,wma_best_param,ewma_best_param
10_21,2.0,2.0,2.0
10_37,6.0,8.0,7.0
10_5,9.0,9.0,9.0
10_86,2.0,2.0,2.0
10_93,2.0,2.0,2.0
11_110,5.0,5.0,5.0
11_61,2.0,2.0,2.0
11_68,3.0,9.0,9.0
11_86,2.0,2.0,2.0
11_87,5.0,5.0,5.0
11_9,8.0,3.0,3.0
12_16,2.0,9.0,9.0
12_37,8.0,7.0,7.0
12_79,7.0,7.0,7.0
12_86,2.0,2.0,2.0
12_93,2.0,2.0,2.0
13_104,2.0,2.0,2.0
13_36,5.0,5.0,5.0
13_46,2.0,2.0,2.0
13_5,8.0,8.0,6.0
13_93,2.0,2.0,2.0
14_15,10.0,10.0,10.0
14_25,2.0,2.0,2.0
14_33,2.0,2.0,2.0
14_50,9.0,9.0,9.0
14_70,2.0,2.0,2.0
14_88,2.0,2.0,2.0
14_9,2.0,2.0,2.0
14_93,2.0,2.0,2.0
15_15,10.0,10.0,9.0
15_17,2.0,2.0,2.0
15_45,4.0,4.0,4.0
15_49,10.0,8.0,8.0
15_5,2.0,2.0,2.0
15_61,2.0,2.0,2.0
15_86,2.0,2.0,2.0
15_93,2.0,2.0,2.0
16_16,2.0,2.0,2.0
16_25,7.0,7.0,7.0
16_39,10.0,10.0,10.0
16_50,8.0,8.0,8.0
16_64,9.0,7.0,7.0
16_77,2.0,2.0,2.0
16_85,2.0,2.0,2.0
16_93,2.0,2.0,2.0
17_37,2.0,2.0,2.0
17_48,2.0,2.0,2.0
17_71,2.0,2.0,2.0
17_9,10.0,9.0,9.0
18_37,2.0,2.0,2.0
18_5,3.0,3.0,3.0
18_57,2.0,2.0,2.0
18_72,2.0,2.0,2.0
19_15,2.0,2.0,2.0
19_16,2.0,2.0,2.0
19_39,2.0,2.0,2.0
19_69,2.0,2.0,2.0
19_75,10.0,6.0,6.0
19_83,4.0,3.0,3.0
19_88,2.0,2.0,2.0
19_93,2.0,2.0,2.0
1_28,4.0,4.0,4.0
1_40,2.0,2.0,2.0
1_47,2.0,10.0,10.0
1_51,9.0,9.0,9.0
1_89,2.0,2.0,2.0
1_9,2.0,6.0,6.0
1_93,2.0,2.0,2.0
1_99,3.0,2.0,2.0
20_106,10.0,10.0,10.0
20_18,2.0,2.0,2.0
20_41,9.0,9.0,9.0
20_5,2.0,2.0,2.0
20_74,2.0,2.0,2.0
20_93,2.0,2.0,2.0
21_109,2.0,8.0,8.0
21_44,5.0,5.0,10.0
21_5,3.0,2.0,2.0
21_91,10.0,10.0,10.0
22_104,2.0,2.0,2.0
22_54,3.0,3.0,3.0
22_68,10.0,10.0,9.0
22_78,2.0,2.0,2.0
22_9,2.0,2.0,2.0
22_93,2.0,2.0,2.0
23_29,2.0,2.0,2.0
23_45,9.0,9.0,9.0
23_5,8.0,6.0,6.0
23_56,2.0,2.0,2.0
24_43,10.0,10.0,10.0
24_6,8.0,8.0,8.0
24_60,4.0,3.0,3.0
24_76,2.0,2.0,2.0
24_97,2.0,2.0,2.0
25_12,10.0,6.0,6.0
25_45,2.0,2.0,2.0
25_50,7.0,7.0,7.0
25_81,2.0,2.0,2.0
25_84,2.0,2.0,2.0
25_9,2.0,2.0,2.0
25_93,2.0,2.0,2.0
26_2,2.0,2.0,2.0
26_45,10.0,10.0,10.0
26_5,6.0,10.0,10.0
27_21,2.0,2.0,2.0
27_68,2.0,2.0,2.0
27_80,2.0,2.0,2.0
27_9,10.0,10.0,10.0
27_93,2.0,2.0,2.0
28_2,2.0,2.0,2.0
28_35,4.0,9.0,9.0
28_45,10.0,10.0,10.0
28_5,3.0,3.0,3.0
29_41,8.0,8.0,8.0
29_45,3.0,3.0,3.0
29_56,2.0,2.0,2.0
29_8,2.0,2.0,2.0
2_11,2.0,2.0,2.0
2_44,2.0,2.0,2.0
2_5,2.0,2.0,2.0
2_85,2.0,2.0,2.0
2_93,2.0,2.0,2.0
30_13,2.0,2.0,2.0
30_16,5.0,6.0,5.0
30_44,8.0,8.0,8.0
30_49,2.0,2.0,2.0
30_51,2.0,2.0,2.0
30_65,6.0,6.0,6.0
31_104,2.0,2.0,2.0
31_45,2.0,2.0,2.0
31_67,7.0,7.0,7.0
31_9,2.0,8.0,8.0
31_93,2.0,2.0,2.0
31_98,2.0,2.0,2.0
32_19,2.0,2.0,2.0
32_45,10.0,10.0,10.0
32_51,2.0,2.0,2.0
32_58,2.0,2.0,2.0
32_86,2.0,2.0,2.0
32_9,2.0,2.0,2.0
32_93,2.0,2.0,2.0
33_44,2.0,2.0,2.0
33_85,2.0,2.0,2.0
33_9,2.0,8.0,8.0
33_92,2.0,2.0,2.0
33_93,2.0,2.0,2.0
34_31,2.0,2.0,2.0
34_45,2.0,10.0,10.0
34_52,2.0,2.0,2.0
34_84,2.0,2.0,2.0
34_9,10.0,10.0,10.0
34_93,2.0,2.0,2.0
35_105,2.0,2.0,2.0
35_16,4.0,4.0,3.0
35_24,2.0,2.0,2.0
35_49,2.0,2.0,2.0
35_50,10.0,10.0,10.0
35_63,2.0,2.0,2.0
35_66,9.0,9.0,9.0
35_93,2.0,2.0,2.0
36_1,2.0,2.0,2.0
36_30,2.0,2.0,2.0
36_44,2.0,2.0,2.0
36_9,7.0,7.0,7.0
37_104,2.0,2.0,2.0
37_105,2.0,2.0,2.0
37_15,2.0,2.0,2.0
37_38,8.0,7.0,7.0
37_45,8.0,8.0,8.0
37_5,8.0,7.0,7.0
37_53,9.0,7.0,7.0
38_45,3.0,2.0,2.0
38_52,2.0,2.0,2.0
38_86,2.0,2.0,2.0
38_9,2.0,9.0,9.0
38_93,2.0,2.0,2.0
38_98,2.0,2.0,2.0
39_103,6.0,6.0,6.0
39_111,10.0,10.0,10.0
39_36,5.0,5.0,5.0
39_9,2.0,2.0,2.0
3_102,10.0,10.0,10.0
3_109,5.0,5.0,5.0
3_2,2.0,2.0,2.0
3_45,3.0,2.0,2.0
3_5,6.0,6.0,6.0
3_93,2.0,2.0,2.0
40_106,2.0,2.0,2.0
40_15,2.0,2.0,2.0
40_45,8.0,8.0,7.0
40_5,10.0,9.0,9.0
40_51,2.0,2.0,2.0
40_55,2.0,2.0,2.0
40_93,2.0,2.0,2.0
41_108,10.0,10.0,10.0
41_16,2.0,8.0,8.0
41_61,2.0,2.0,2.0
41_68,2.0,10.0,10.0
41_86,2.0,2.0,2.0
41_93,2.0,2.0,2.0
42_45,2.0,2.0,2.0
42_5,9.0,9.0,9.0
42_82,2.0,2.0,2.0
43_105,2.0,2.0,2.0
43_16,7.0,7.0,5.0
43_3,2.0,2.0,2.0
43_37,2.0,2.0,2.0
43_73,8.0,8.0,7.0
43_93,2.0,2.0,2.0
44_105,2.0,2.0,2.0
44_5,10.0,4.0,4.0
44_62,2.0,2.0,2.0
44_68,3.0,3.0,3.0
44_93,2.0,2.0,2.0
44_94,10.0,9.0,9.0
45_22,9.0,7.0,7.0
45_26,10.0,4.0,4.0
45_34,8.0,8.0,8.0
45_4,2.0,2.0,2.0
45_50,6.0,6.0,6.0
45_9,10.0,10.0,10.0
4_101,3.0,3.0,3.0
4_27,4.0,4.0,4.0
4_9,4.0,4.0,4.0
4_90,10.0,10.0,10.0
4_93,2.0,2.0,2.0
4_96,2.0,2.0,2.0
4_97,2.0,2.0,2.0
5_105,2.0,2.0,2.0
5_16,6.0,6.0,6.0
5_20,2.0,2.0,2.0
5_32,8.0,8.0,8.0
5_37,9.0,9.0,9.0
5_93,2.0,2.0,2.0
6_107,3.0,3.0,3.0
6_14,2.0,2.0,2.0
6_45,8.0,8.0,8.0
6_9,4.0,4.0,4.0
7_23,3.0,4.0,10.0
7_5,9.0,9.0,9.0
7_7,2.0,2.0,2.0
7_93,2.0,2.0,2.0
7_95,2.0,2.0,2.0
8_100,8.0,8.0,8.0
8_23,4.0,4.0,4.0
8_5,10.0,10.0,10.0
8_59,7.0,7.0,7.0
8_84,2.0,2.0,2.0
8_93,2.0,2.0,2.0
9_10,2.0,2.0,2.0
9_105,2.0,2.0,2.0
9_42,2.0,2.0,2.0
9_45,2.0,7.0,7.0
9_5,7.0,7.0,7.0
9_93,2.0,2.0,2.0
